EntityID,Date,Created,Managing mental health. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all ,Physical health and self-care. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'. ,Living skills. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'. ,Social networks. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'. ,Work. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'. ,Relationships. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'.,Addictive behaviour. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'. ,Responsibilities. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'. ,Identity and self-esteem. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'. ,Trust and hope. Put a mark at the level of confidence/satisfaction which you think you are at for each topic or area. 10 means 'Extremely confident' and 1 means 'Not at all confident'.
180,2016-06-16 14:30,2016-06-17 10:46,5,10,6,10,7,7,5,7,8,5
194,2016-08-01 15:53,2016-08-01 15:55,6,4,7,9,7,6,8,6,7,3
159,2016-08-09 16:00,2016-08-10 9:40,8,8,5,9,5,6,7,5,9,6
195,2016-08-15 12:29,2016-08-15 12:32,6,5,3,6,3,4,3,3,4,8
84,2016-08-16 9:11,2016-08-16 9:13,6,8,7,10,4,5,5,5,8,7
200,2016-08-26 11:48,2016-08-26 11:53,10,9,5,7,8,8,3,5,7,4
206,2016-10-03 16:25,2016-10-03 16:26,4,9,9,10,5,8,10,8,9,9
205,2016-10-10 13:20,2016-10-19 14:48,3,10,8,4,10,6,8,8,3,8
160,2016-09-08 11:20,2016-11-01 12:24,5,7,8,3,7,4,10,8,4,6
38,2016-07-05 14:34,2016-11-01 21:37,7,9,7,8,8,8,7,7,9,8
228,2016-10-03 12:04,2016-11-01 23:07,7,7,8,7,5,6,7,8,6,6
187,2016-10-03 15:25,2016-11-01 23:54,5,5,5,4,6,6,5,4,5,4
229,2016-06-15 13:58,2016-11-03 10:15,5,5,5,6,5,5,6,5,5,5
226,2016-11-08 13:50,2016-11-08 13:52,4,10,8,4,6,7,8,9,3,3
225,2016-11-04 13:00,2016-11-08 16:33,5,9,7,6,5,9,3,4,6,6
223,2016-11-16 16:06,2016-11-16 16:09,8,5,4,7,5,8,4,7,9,8
215,2016-09-29 10:14,2016-11-16 16:17,6,9,8,9,6,7,,7,7,7
214,2016-09-29 13:30,2016-11-16 16:23,5,8,7,7,4,6,8,8,7,6
199,2016-09-29 9:00,2016-11-16 16:31,8,10,10,7,7,8,,4,8,7
219,2016-11-28 11:45,2016-11-30 11:33,3,10,10,10,6,5,7,9,5,5
220,2016-12-09 12:46,2016-12-09 12:48,7,8,7,8,7,7,9,9,6,6
192,2016-12-09 13:03,2016-12-09 13:05,6,7,8,6,4,5,6,5,6,2
221,2016-12-19 13:29,2016-12-19 13:32,9,10,8,9,8,8,10,8,8,7
239,2017-01-12 12:36,2017-01-12 12:38,8,10,9,10,9,8,3,9,9,9
217,2017-01-17 11:45,2017-01-17 15:48,8,9,9,9,7,8,5,9,8,5
230,2016-11-09 10:30,2017-02-22 15:30,3,5,6,4,4,2,3,7,3,4
226,2017-02-23 0:29,2017-02-23 0:32,4,7,8,6,9,5,8,9,5,4
236,2017-03-01 10:00,2017-03-01 12:45,6,8,9,10,8,,8,9,7,9
253,2017-03-21 12:25,2017-03-21 12:28,6,6,10,4,5,9,8,2,3,6
